f_qual,f_annee_construction,f_CuisineQual,f_cheminee,f_Quartier,f_surface_habitable,f_nb_places,f_surface_sous_sol,f_surface_1er_etage,f_nb_salle_bain,f_prix
5,1950-1980,TA,1,Gilbert,1934,2.0,1122.0,946,2,185000
7,1950-1980,Ex,1,NWAmes,2353,2.0,845.0,1153,2,260000
6,1950-1980,TA,1,NWAmes,1586,2.0,1362.0,1586,2,181000
7,1950-1980,TA,1,NWAmes,1411,2.0,1386.0,1411,2,82500
6,1950-1980,Gd,1,NWAmes,1602,2.0,1602.0,1602,2,215000
7,1950-1980,Gd,1,NWAmes,2050,2.0,832.0,1154,2,154000
6,1950-1980,TA,1,NWAmes,1671,2.0,1427.0,1671,2,200000
7,1950-1980,Gd,1,NWAmes,2673,2.0,1043.0,1539,2,249000
7,1950-1980,TA,1,NWAmes,1472,2.0,1372.0,1472,2,187500
6,1950-1980,TA,1,NWAmes,1707,2.0,1140.0,1707,2,184000
8,1980-2000,Gd,1,NWAmes,2524,2.0,2524.0,2524,2,278000
7,1950-1980,TA,1,NWAmes,1601,2.0,1271.0,1601,2,157000
7,1950-1980,TA,1,NWAmes,1370,2.0,1090.0,1370,2,152000
5,1950-1980,Gd,1,NWAmes,1868,2.0,780.0,1088,2,197500
7,après 2000,Ex,1,Somerst,1884,2.0,926.0,1016,2,240900
8,après 2000,TA,0,Somerst,1935,2.0,832.0,832,2,263435
8,1980-2000,Gd,1,Somerst,1874,2.0,1058.0,1058,2,220000
8,après 2000,Gd,1,Somerst,1811,2.0,972.0,972,2,235000
5,1950-1980,TA,1,NWAmes,1621,2.0,1621.0,1621,2,213000
6,1950-1980,TA,1,NWAmes,1116,2.0,1116.0,1116,2,167900
7,1950-1980,TA,1,NWAmes,1193,2.0,1176.0,1193,2,158000
6,1950-1980,TA,1,NWAmes,1350,2.0,1064.0,1350,2,165000
6,1950-1980,TA,1,NWAmes,2119,2.0,689.0,1378,2,158000
5,1950-1980,TA,0,NAmes,1792,0.0,896.0,896,2,136000
5,1950-1980,TA,0,NAmes,1002,2.0,1002.0,1002,1,148500
6,1950-1980,Gd,0,NAmes,1026,2.0,1026.0,1026,1,156000
5,1950-1980,TA,0,NAmes,1180,2.0,1180.0,1180,1,128000
5,1950-1980,TA,0,NAmes,1050,1.0,1043.0,1050,1,143000
4,1950-1980,TA,0,NAmes,864,2.0,864.0,864,1,76500
4,1950-1980,Gd,0,NAmes,864,2.0,864.0,864,1,120500
4,1950-1980,TA,0,NAmes,864,2.0,864.0,864,1,124500
4,1950-1980,TA,0,NAmes,864,2.0,864.0,864,1,97000
4,1950-1980,TA,0,NAmes,864,2.0,864.0,864,1,130000
6,1950-1980,TA,0,BrDale,987,1.0,483.0,483,1,111000
5,1950-1980,TA,0,BrDale,1365,2.0,765.0,765,1,125000
5,1950-1980,TA,0,BrDale,1302,1.0,630.0,630,2,112000
6,1950-1980,TA,0,BrDale,987,1.0,483.0,483,1,97000
6,1950-1980,Gd,0,BrDale,987,1.0,483.0,483,1,118000
5,1950-1980,TA,0,BrDale,1302,1.0,630.0,630,2,119500
6,1950-1980,TA,0,NPkVill,958,2.0,958.0,958,2,143750
6,1950-1980,TA,1,NPkVill,1548,2.0,804.0,804,2,146000
6,1950-1980,TA,1,NPkVill,1456,2.0,855.0,855,2,148500
7,1950-1980,TA,1,NPkVill,1055,2.0,1057.0,1055,2,123000
6,1950-1980,TA,1,NPkVill,1322,2.0,855.0,855,2,147000
6,1950-1980,TA,1,NPkVill,1456,2.0,855.0,855,2,137900
6,1950-1980,TA,1,NPkVill,1548,2.0,804.0,804,2,147000
6,1950-1980,TA,1,NPkVill,1441,2.0,855.0,855,2,148500
6,1950-1980,TA,1,NPkVill,1456,2.0,855.0,855,2,138000
7,1950-1980,TA,0,NPkVill,836,1.0,836.0,836,1,128500
5,1950-1980,TA,0,NAmes,892,1.0,892.0,892,1,100000
5,1950-1980,TA,1,NAmes,1120,2.0,864.0,1120,1,148800
10,après 2000,Ex,1,NridgHt,1718,3.0,1700.0,1718,2,337500
9,après 2000,Ex,1,NridgHt,2772,3.0,1776.0,1794,3,462000
9,après 2000,Ex,1,NridgHt,3140,3.0,1926.0,1966,3,485000
10,après 2000,Ex,1,NridgHt,2402,3.0,3094.0,2402,2,555000
9,après 2000,Ex,1,NridgHt,1652,2.0,1652.0,1652,2,325000
8,après 2000,Gd,1,NridgHt,1600,3.0,1566.0,1600,2,256300
8,après 2000,Ex,1,NridgHt,2042,3.0,2042.0,2042,2,253293
9,après 2000,Ex,1,NridgHt,2690,3.0,1365.0,1365,2,398800
9,après 2000,Ex,1,NridgHt,2184,3.0,1104.0,1130,2,335000
9,après 2000,Ex,1,NridgHt,2020,3.0,2020.0,2020,2,404000
10,après 2000,Ex,1,NridgHt,2020,3.0,2006.0,2020,2,402861
10,après 2000,Ex,1,NridgHt,2296,3.0,1722.0,1728,2,451950
10,après 2000,Ex,1,NridgHt,2674,3.0,2630.0,2674,2,610000
9,après 2000,Ex,1,NridgHt,2822,3.0,1734.0,1734,3,582933
9,après 2000,Ex,1,NridgHt,1736,3.0,1736.0,1736,2,360000
8,après 2000,Gd,1,NridgHt,1782,3.0,1782.0,1782,2,296000
8,après 2000,Ex,1,NridgHt,2520,3.0,1508.0,1508,2,409900
8,après 2000,Gd,1,NridgHt,1717,3.0,1709.0,1717,2,255500
9,après 2000,Ex,1,NridgHt,1743,3.0,1739.0,1743,2,335000
8,après 2000,Ex,1,NridgHt,1713,3.0,1713.0,1713,2,274900
9,après 2000,Ex,1,NridgHt,1531,3.0,1504.0,1531,2,300000
9,après 2000,Ex,1,NridgHt,1808,3.0,1774.0,1808,2,324000
9,après 2000,Ex,1,NridgHt,2224,3.0,1462.0,1462,2,350000
8,après 2000,Gd,1,NridgHt,1836,3.0,1836.0,1836,2,280000
8,après 2000,Gd,1,NridgHt,1629,3.0,3206.0,1629,2,284000
7,après 2000,Gd,1,NridgHt,1760,2.0,1760.0,1760,2,269500
7,après 2000,Gd,0,NridgHt,1502,2.0,1502.0,1502,2,233170
10,après 2000,Ex,1,NridgHt,2392,3.0,2392.0,2392,2,386250
9,après 2000,Ex,1,NridgHt,2452,3.0,2452.0,2452,2,445000
8,après 2000,Gd,1,NridgHt,2400,3.0,1082.0,1105,3,290000
8,après 2000,Gd,1,NridgHt,1606,3.0,1598.0,1606,2,255900
6,après 2000,Gd,1,NridgHt,1358,2.0,1358.0,1358,2,213000
6,après 2000,Gd,1,NridgHt,1306,2.0,1306.0,1306,2,196000
6,après 2000,Gd,1,NridgHt,1306,2.0,1306.0,1306,2,184500
7,après 2000,Gd,1,NridgHt,1358,2.0,1350.0,1358,2,212500
7,après 2000,Gd,1,NridgHt,1314,2.0,1314.0,1314,2,230000
10,après 2000,Ex,1,NridgHt,2492,3.0,2492.0,2492,2,552000
8,après 2000,Ex,1,NridgHt,2200,3.0,2200.0,2200,2,382500
9,après 2000,Ex,1,NridgHt,1884,2.0,1884.0,1884,2,320000
9,après 2000,Ex,1,NridgHt,1456,2.0,1451.0,1456,2,248500
8,après 2000,Gd,1,NridgHt,1712,3.0,1712.0,1712,2,286500
8,après 2000,Gd,1,NridgHt,1324,2.0,1324.0,1324,2,254000
7,après 2000,Gd,1,NridgHt,1405,2.0,1405.0,1405,2,173000
7,après 2000,Gd,0,NridgHt,1626,2.0,764.0,764,2,173000
7,après 2000,Gd,1,Gilbert,1456,2.0,728.0,728,2,184000
6,après 2000,Gd,1,Gilbert,1490,2.0,745.0,745,2,167800
6,après 2000,Gd,1,Gilbert,1484,2.0,742.0,742,2,174000
6,après 2000,Gd,1,Gilbert,1560,2.0,684.0,684,2,174000
7,après 2000,Gd,1,Blmngtn,1555,3.0,1373.0,1555,2,174000
7,après 2000,Gd,1,Blmngtn,1569,3.0,1386.0,1569,2,175900
7,après 2000,Gd,1,Blmngtn,1555,2.0,1373.0,1555,2,192500
7,après 2000,Gd,1,Blmngtn,1504,2.0,1346.0,1504,2,181000
7,après 2000,Gd,1,Blmngtn,1220,2.0,1220.0,1220,2,180000
7,après 2000,Gd,1,Blmngtn,1145,2.0,1145.0,1145,2,160200
7,après 2000,Gd,1,Gilbert,1432,2.0,716.0,716,2,188500
6,après 2000,Gd,1,Gilbert,2267,2.0,1010.0,1010,2,200000
7,après 2000,Gd,1,Gilbert,1374,2.0,384.0,744,2,170000
7,après 2000,Gd,1,Gilbert,1630,2.0,868.0,868,2,189500
8,après 2000,Gd,1,Gilbert,1419,2.0,408.0,779,2,184100
7,après 2000,Gd,1,Gilbert,1594,2.0,846.0,846,2,195500
7,après 2000,Gd,1,Gilbert,1489,2.0,782.0,806,2,192000
7,après 2000,Gd,1,Gilbert,1342,2.0,698.0,698,2,178000
7,après 2000,Gd,1,NridgHt,1314,2.0,1314.0,1314,2,207500
7,1980-2000,Gd,1,Gilbert,2256,2.0,952.0,980,2,236000
8,après 2000,Gd,1,Gilbert,2004,3.0,870.0,878,2,257500
6,1980-2000,Gd,1,Gilbert,2054,2.0,992.0,1022,2,244000
7,après 2000,Gd,0,Gilbert,1374,2.0,384.0,744,2,167000
6,1980-2000,TA,1,Gilbert,1800,2.0,982.0,1007,2,179000
6,1980-2000,TA,1,Gilbert,1514,2.0,794.0,819,2,190000
7,1980-2000,TA,1,Gilbert,1430,2.0,384.0,774,2,156000
7,1980-2000,Gd,1,Gilbert,2312,3.0,1177.0,1223,2,245000
6,1980-2000,TA,1,Gilbert,1675,2.0,841.0,892,2,181000
7,1980-2000,Gd,1,Gilbert,2060,2.0,992.0,1022,2,214000
7,1980-2000,TA,1,Gilbert,1430,2.0,384.0,774,2,168000
8,1980-2000,Gd,1,NoRidge,2365,3.0,1252.0,1268,2,337000
8,1980-2000,Ex,1,NoRidge,2794,3.0,1462.0,1490,2,403000
8,1980-2000,Gd,1,NoRidge,2687,3.0,1455.0,1466,2,327000
8,1980-2000,Gd,1,NoRidge,2450,3.0,1284.0,1310,2,340000
8,1980-2000,Gd,1,NoRidge,2612,3.0,1225.0,1276,2,336000
7,1980-2000,Gd,1,NoRidge,2344,3.0,1264.0,1277,2,265000
8,1980-2000,Gd,1,NoRidge,2063,3.0,2024.0,2063,2,315000
7,1980-2000,Gd,1,NoRidge,2646,3.0,1347.0,1372,2,260000
7,1980-2000,Gd,1,NoRidge,2061,2.0,1070.0,1094,2,260000
8,1980-2000,Gd,1,NoRidge,2232,2.0,1173.0,1215,2,263550
8,1980-2000,Gd,1,NoRidge,2448,3.0,1629.0,1686,2,402000
7,1980-2000,Gd,1,NoRidge,1850,2.0,973.0,979,2,248000
8,après 2000,Gd,1,Somerst,1468,3.0,1468.0,1468,2,244600
8,après 2000,Gd,0,Somerst,1696,3.0,1696.0,1696,2,275000
8,après 2000,Gd,1,Somerst,1658,3.0,1614.0,1658,2,257500
8,après 2000,Ex,1,Somerst,1578,3.0,1573.0,1578,2,287090
8,après 2000,Gd,1,Somerst,1702,3.0,1702.0,1702,2,275500
8,après 2000,Gd,1,Somerst,1432,2.0,1422.0,1432,2,245000
7,après 2000,Gd,1,Somerst,1971,2.0,1113.0,1113,2,253000
9,après 2000,Ex,1,Somerst,2490,3.0,2458.0,2490,2,468000
7,après 2000,Gd,1,Somerst,1852,2.0,900.0,932,2,252678
8,après 2000,Gd,0,Somerst,1590,2.0,768.0,786,2,210000
6,après 2000,Gd,0,Somerst,1218,2.0,1218.0,1218,2,208300
7,après 2000,Gd,0,Somerst,1436,2.0,1436.0,1436,2,225000
8,après 2000,Gd,0,Somerst,1314,2.0,1300.0,1314,2,229456
7,après 2000,Gd,0,Somerst,1402,2.0,1402.0,1402,2,229800
9,après 2000,Gd,1,Somerst,1530,3.0,1530.0,1530,2,250000
9,après 2000,Ex,1,Somerst,1766,3.0,1766.0,1766,2,370878
8,après 2000,Gd,1,Somerst,1448,2.0,1372.0,1448,2,238500
10,après 2000,Ex,1,Somerst,2007,3.0,1017.0,1026,2,310000
8,après 2000,Gd,1,Somerst,1795,3.0,900.0,909,2,270000
8,après 2000,Gd,1,Somerst,1953,3.0,1082.0,1082,2,252000
7,après 2000,Gd,0,Somerst,1550,2.0,1092.0,1112,2,241000
8,après 2000,Gd,1,Somerst,1836,2.0,1836.0,1836,2,264500
7,après 2000,Ex,1,Somerst,1662,3.0,1652.0,1662,2,291000
7,après 2000,Gd,1,Somerst,2094,2.0,912.0,912,2,263000
7,après 2000,Gd,0,Somerst,1221,2.0,1221.0,1221,2,185000
7,après 2000,Gd,0,Somerst,1553,2.0,1553.0,1553,2,234500
7,après 2000,Gd,0,Somerst,1653,2.0,812.0,812,2,209000
7,après 2000,Gd,0,SawyerW,1218,2.0,1218.0,1218,1,159000
7,après 2000,Gd,0,SawyerW,1141,2.0,1141.0,1141,1,152000
6,après 2000,Gd,0,SawyerW,1158,0.0,1158.0,1158,1,143500
7,après 2000,Gd,0,SawyerW,1812,2.0,835.0,871,2,193000
8,après 2000,Gd,0,SawyerW,1512,3.0,1512.0,1512,2,203000
7,après 2000,Gd,0,SawyerW,1200,2.0,1176.0,1200,2,184900
7,après 2000,Gd,0,SawyerW,1114,2.0,1114.0,1114,1,159000
5,après 2000,Gd,0,SawyerW,1114,0.0,1114.0,1114,1,142000
5,après 2000,Gd,0,SawyerW,1114,2.0,1114.0,1114,2,153000
7,après 2000,Gd,0,SawyerW,1450,3.0,1450.0,1450,2,224243
7,1980-2000,Gd,1,SawyerW,2122,2.0,913.0,913,2,220000
8,après 2000,Gd,1,SawyerW,1844,2.0,1844.0,1844,2,257000
7,après 2000,Gd,1,SawyerW,1434,2.0,1454.0,1434,2,189000
6,1980-2000,Gd,0,SawyerW,1730,2.0,816.0,833,2,171500
6,1950-1980,TA,1,SawyerW,1217,1.0,626.0,626,1,120000
6,1980-2000,Gd,0,SawyerW,1332,2.0,1332.0,1332,2,145000
7,1980-2000,Gd,0,SawyerW,1540,2.0,754.0,754,2,184000
6,1980-2000,TA,0,SawyerW,1400,2.0,676.0,698,2,162000
6,1980-2000,TA,1,SawyerW,1882,2.0,0.0,964,2,160000
4,1900-1950,TA,0,SawyerW,841,1.0,721.0,841,1,82000
6,1900-1950,TA,0,SawyerW,784,2.0,784.0,784,1,76000
5,1950-1980,TA,0,Sawyer,980,2.0,980.0,980,1,110000
5,1950-1980,TA,0,Sawyer,980,2.0,980.0,980,1,135000
5,1950-1980,TA,0,Sawyer,864,2.0,864.0,864,1,141000
5,1950-1980,TA,0,Sawyer,864,1.0,864.0,864,1,122000
5,1950-1980,TA,0,Sawyer,1020,1.0,1024.0,1020,2,124100
5,1950-1980,Gd,0,Sawyer,912,1.0,912.0,912,1,129000
5,1950-1980,TA,1,Sawyer,1144,1.0,864.0,1144,1,131400
5,1950-1980,TA,1,Sawyer,864,1.0,864.0,864,1,62383
5,1950-1980,TA,0,Sawyer,912,1.0,912.0,912,1,123000
8,1950-1980,Gd,1,Veenker,2014,3.0,2014.0,2014,2,275000
7,1980-2000,Gd,1,NoRidge,1755,2.0,975.0,975,2,235000
7,après 2000,Gd,1,Somerst,3005,3.0,1376.0,1376,2,280750
6,après 2000,Gd,0,Somerst,1224,2.0,612.0,612,2,164500
6,après 2000,Gd,0,Somerst,1224,2.0,612.0,612,2,173733
6,après 2000,Gd,1,Somerst,1726,2.0,1726.0,1726,2,222000
6,après 2000,Gd,1,Somerst,1256,2.0,1145.0,1256,1,195000
6,1980-2000,TA,0,Somerst,1471,2.0,729.0,742,2,172500
6,1980-2000,Gd,0,Somerst,1512,2.0,756.0,756,2,180000
7,1980-2000,Gd,0,Somerst,1452,2.0,691.0,713,2,156000
8,1980-2000,Gd,0,Somerst,1739,2.0,970.0,983,2,172500
8,1950-1980,Ex,1,Veenker,1694,2.0,1694.0,1694,2,318750
8,1980-2000,Gd,1,Greens,1226,2.0,1226.0,1226,1,211500
7,1980-2000,Gd,0,Veenker,1740,2.0,1740.0,1740,1,241600
8,1950-1980,TA,1,Veenker,2499,2.0,392.0,1487,2,180500
4,1950-1980,TA,1,Sawyer,1620,2.0,1281.0,1620,2,150000
6,1950-1980,TA,0,NWAmes,1556,2.0,727.0,829,1,154000
6,1950-1980,TA,1,NWAmes,1442,2.0,1442.0,1442,2,185000
6,1950-1980,Gd,1,NWAmes,1489,2.0,1489.0,1489,2,185750
7,1950-1980,TA,1,NWAmes,2090,2.0,1107.0,1107,2,200000
7,1950-1980,Gd,1,NWAmes,2067,2.0,752.0,1285,2,206000
6,1950-1980,TA,1,NWAmes,1395,2.0,723.0,735,1,162000
6,1950-1980,Gd,1,NWAmes,2640,2.0,932.0,1271,2,256900
6,1950-1980,TA,1,NWAmes,1724,2.0,1680.0,1724,1,197900
5,1950-1980,TA,1,NWAmes,1336,2.0,1288.0,1336,2,163000
6,1950-1980,TA,0,NWAmes,1216,1.0,1216.0,1216,1,113000
7,1950-1980,Gd,1,NWAmes,2288,2.0,908.0,1316,1,230000
6,1950-1980,TA,1,NWAmes,1334,2.0,1350.0,1334,2,167900
7,1980-2000,Gd,1,NWAmes,1680,2.0,1650.0,1680,2,213250
8,après 2000,Gd,0,NWAmes,1665,2.0,810.0,810,2,227000
5,1950-1980,TA,0,NAmes,864,1.0,864.0,864,1,130000
5,1950-1980,TA,0,NAmes,1568,2.0,1568.0,1568,1,143000
5,1950-1980,TA,0,NAmes,925,1.0,925.0,925,1,117500
7,1950-1980,TA,1,NWAmes,2061,2.0,1165.0,1165,2,168500
6,1950-1980,TA,1,NWAmes,1320,2.0,1232.0,1320,2,172500
6,1950-1980,TA,1,NWAmes,1342,2.0,1372.0,1342,2,161500
4,1950-1980,TA,1,NAmes,894,2.0,894.0,894,1,141500
5,1950-1980,TA,0,NAmes,864,1.0,864.0,864,1,118000
6,1950-1980,TA,0,NAmes,864,1.0,864.0,864,1,127500
4,1950-1980,TA,1,NAmes,1362,3.0,1040.0,1362,1,140000
5,1950-1980,TA,1,NAmes,1728,2.0,1048.0,1728,2,177625
5,1950-1980,TA,0,NAmes,1776,3.0,1584.0,1776,2,110000
6,1950-1980,TA,0,NAmes,1516,2.0,1516.0,1516,1,167000
5,1950-1980,Gd,1,NAmes,1313,2.0,1313.0,1313,1,153000
5,1950-1980,TA,1,NAmes,1292,2.0,1292.0,1292,1,145100
5,1950-1980,TA,1,NAmes,1154,2.0,1154.0,1154,1,154000
5,1950-1980,TA,1,NAmes,2140,2.0,744.0,825,2,177500
6,1950-1980,TA,1,NAmes,1445,2.0,1127.0,1445,1,158000
5,1950-1980,TA,0,NAmes,1041,1.0,1041.0,1041,1,124500
6,1950-1980,Gd,1,NAmes,1576,2.0,1208.0,1576,1,174500
5,1950-1980,TA,0,NAmes,960,1.0,960.0,960,1,122000
4,1900-1950,Fa,0,BrkSide,708,0.0,420.0,708,1,82500
5,1900-1950,Gd,1,BrkSide,1203,1.0,709.0,979,1,110000
6,1950-1980,TA,1,NAmes,1505,2.0,1505.0,1505,1,149500
6,1950-1980,TA,0,NAmes,1691,2.0,1680.0,1691,1,175000
6,1950-1980,TA,1,NAmes,1644,2.0,1416.0,1644,1,167000
5,1950-1980,TA,0,NAmes,1050,1.0,1050.0,1050,1,128900
6,1900-1950,TA,0,NAmes,1668,1.0,856.0,1112,1,140000
5,1900-1950,Gd,1,NAmes,1113,1.0,1113.0,1113,1,147000
5,1950-1980,TA,0,NAmes,1584,3.0,1584.0,1584,2,124000
6,1950-1980,TA,1,NAmes,1453,2.0,1453.0,1453,2,187500
6,1950-1980,TA,1,NAmes,1394,2.0,1394.0,1394,1,159000
6,1950-1980,Gd,1,NAmes,1567,2.0,1562.0,1567,2,256000
7,1950-1980,TA,1,NAmes,1986,2.0,768.0,1186,2,205000
6,1950-1980,Gd,1,NAmes,2142,1.0,896.0,1182,2,193500
6,1950-1980,TA,1,NAmes,1392,2.0,1392.0,1392,1,110000
4,1900-1950,TA,1,NAmes,1738,1.0,715.0,1281,2,104900
5,1950-1980,TA,0,NAmes,1144,1.0,1169.0,1144,1,150000
6,1950-1980,TA,1,NAmes,1478,2.0,1478.0,1478,1,156500
7,1950-1980,TA,1,NAmes,1329,2.0,1329.0,1329,1,176000
6,1950-1980,Gd,0,NAmes,988,1.0,988.0,988,2,149500
6,1950-1980,TA,1,NAmes,1632,1.0,1240.0,1632,2,139000
6,1950-1980,TA,0,NAmes,1215,1.0,1215.0,1215,1,155000
5,1950-1980,TA,0,NAmes,1202,1.0,1202.0,1202,1,120000
5,1950-1980,Gd,0,NAmes,1382,1.0,1382.0,1382,1,153000
4,1950-1980,TA,1,NAmes,1200,1.0,1200.0,1200,1,144000
6,1950-1980,TA,1,NAmes,1382,2.0,1362.0,1382,1,176000
5,1950-1980,TA,1,NAmes,1297,2.0,1297.0,1297,1,153000
5,1950-1980,TA,0,NAmes,1866,2.0,1866.0,1866,2,135000
6,1950-1980,TA,0,NAmes,1062,1.0,1062.0,1062,1,131000
5,1950-1980,TA,0,NAmes,1319,1.0,608.0,1319,1,123000
5,1950-1980,TA,0,NAmes,1112,2.0,631.0,1112,1,126000
4,1950-1980,Fa,1,NAmes,1005,2.0,1005.0,1005,1,115000
5,1950-1980,TA,1,NAmes,1363,1.0,1008.0,1363,1,164900
5,1900-1950,Fa,0,NAmes,793,1.0,793.0,793,1,113000
5,1950-1980,Gd,0,NAmes,1031,1.0,1031.0,1031,1,145500
5,1950-1980,TA,0,NAmes,1210,1.0,0.0,1210,1,102900
3,avant 1900,TA,0,OldTown,1699,2.0,978.0,1014,2,95000
7,1900-1950,TA,1,NAmes,1527,2.0,699.0,801,1,152500
5,1900-1950,TA,0,NAmes,1200,1.0,1200.0,1200,1,129900
6,1900-1950,TA,1,NAmes,972,1.0,972.0,972,1,132000
3,1950-1980,TA,0,OldTown,792,1.0,792.0,792,1,99900
5,1900-1950,TA,0,OldTown,1656,1.0,660.0,808,2,135000
5,1900-1950,Gd,0,OldTown,1352,2.0,676.0,676,2,149000
4,avant 1900,TA,0,OldTown,1039,1.0,405.0,717,1,114000
5,1900-1950,Gd,0,OldTown,792,1.0,768.0,792,1,109500
5,1900-1950,Ex,0,OldTown,1078,1.0,1054.0,1078,1,125000
4,1900-1950,Gd,1,OldTown,2377,2.0,1313.0,1313,2,142900
7,1900-1950,Gd,0,OldTown,1690,2.0,560.0,930,2,156500
2,1900-1950,Gd,0,OldTown,599,0.0,416.0,599,1,59000
4,1900-1950,TA,0,OldTown,1374,1.0,840.0,840,1,105000
5,1900-1950,Gd,0,OldTown,846,2.0,720.0,846,1,106000
3,avant 1900,TA,0,OldTown,725,1.0,630.0,725,1,78500
6,1950-1980,TA,0,NAmes,2544,3.0,1248.0,1248,2,190000
6,1950-1980,TA,0,NAmes,1380,1.0,1380.0,1380,1,154000
6,1950-1980,TA,1,NAmes,1040,2.0,1040.0,1040,1,163000
5,1950-1980,TA,0,NAmes,2634,4.0,1248.0,1338,2,200000
6,1950-1980,Gd,0,NAmes,951,2.0,951.0,951,1,143500
6,1950-1980,TA,0,NAmes,1105,1.0,1105.0,1105,1,135000
5,1950-1980,TA,0,NAmes,1306,1.0,992.0,1306,1,153000
6,1950-1980,TA,1,NAmes,1478,2.0,1478.0,1478,2,157500
6,1950-1980,TA,1,NAmes,1142,1.0,160.0,1142,1,113500
5,1900-1950,TA,1,NAmes,1268,1.0,832.0,1036,1,133000
3,1900-1950,TA,0,NAmes,1040,2.0,0.0,1040,2,92900
6,1900-1950,TA,0,NAmes,1133,2.0,795.0,765,1,128500
4,1900-1950,TA,0,NAmes,1040,2.0,0.0,1040,2,90000
5,1900-1950,TA,0,NAmes,1904,1.0,1208.0,1136,1,138000
5,1950-1980,TA,0,NAmes,1041,1.0,1041.0,1041,1,128000
5,1950-1980,TA,0,NAmes,1339,1.0,1029.0,1339,1,139000
5,1950-1980,TA,0,NAmes,732,1.0,732.0,732,1,118900
5,1950-1980,TA,0,NAmes,1183,1.0,528.0,1183,1,138000
5,1950-1980,TA,0,NAmes,1148,1.0,1148.0,1148,1,132500
4,1900-1950,TA,0,NAmes,1461,1.0,832.0,832,2,133500
6,1900-1950,TA,0,NAmes,1495,2.0,864.0,1064,1,135000
6,1950-1980,TA,0,NAmes,1806,2.0,780.0,993,1,144750
5,1950-1980,Gd,0,NAmes,941,2.0,941.0,941,1,145000
6,1950-1980,TA,1,NAmes,1045,1.0,1045.0,1045,1,127000
5,1950-1980,TA,0,NAmes,894,1.0,894.0,894,1,109500
6,1900-1950,TA,0,OldTown,1224,1.0,818.0,818,1,115000
5,1900-1950,TA,0,OldTown,1230,2.0,440.0,682,1,110000
6,1900-1950,Gd,0,OldTown,1378,1.0,901.0,861,1,128900
6,1900-1950,TA,0,OldTown,1944,2.0,972.0,972,2,103500
5,1900-1950,TA,0,OldTown,1131,1.0,676.0,676,1,66500
5,1900-1950,Gd,0,OldTown,1306,2.0,240.0,810,1,130000
5,1900-1950,TA,0,OldTown,1464,0.0,504.0,764,2,129000
5,1900-1950,TA,1,OldTown,1558,2.0,690.0,868,1,150000
5,avant 1900,TA,0,OldTown,2372,1.0,994.0,1378,2,107500
4,1900-1950,Fa,0,OldTown,1701,0.0,600.0,1101,2,94550
5,1950-1980,TA,0,OldTown,1960,2.0,960.0,960,2,124500
7,1900-1950,TA,1,OldTown,1389,1.0,651.0,707,1,135000
5,1900-1950,TA,0,OldTown,1447,0.0,801.0,801,1,103000
4,1950-1980,TA,0,OldTown,936,2.0,936.0,936,1,93000
5,1900-1950,TA,0,OldTown,1328,1.0,768.0,768,1,129500
5,1950-1980,Gd,0,OldTown,1387,1.0,811.0,811,2,93000
4,1900-1950,TA,0,OldTown,861,2.0,861.0,861,1,80000
2,1900-1950,TA,0,OldTown,612,1.0,0.0,612,1,45000
3,1900-1950,TA,0,OldTown,968,0.0,600.0,600,1,37900
5,1900-1950,TA,0,OldTown,886,1.0,190.0,886,1,91300
5,1900-1950,TA,0,OldTown,792,1.0,624.0,792,1,99500
4,1900-1950,TA,0,OldTown,1452,0.0,736.0,736,2,113000
4,1900-1950,Gd,0,OldTown,1510,2.0,677.0,833,2,87500
5,1900-1950,TA,0,OldTown,1284,1.0,720.0,720,1,110000
7,avant 1900,Gd,1,OldTown,2640,4.0,1240.0,1320,1,265979
6,avant 1900,Ex,0,OldTown,2007,1.0,917.0,1090,2,160000
6,1900-1950,Ex,1,OldTown,1288,1.0,624.0,664,1,119000
4,1900-1950,TA,1,OldTown,816,0.0,624.0,816,1,58500
7,1900-1950,TA,0,OldTown,1482,2.0,650.0,832,1,143000
5,1900-1950,TA,0,OldTown,1022,1.0,1022.0,1022,1,85000
5,avant 1900,TA,0,OldTown,1869,2.0,1088.0,1188,1,124900
6,1900-1950,TA,0,OldTown,1480,1.0,972.0,1044,1,119000
6,1900-1950,Gd,0,OldTown,1521,3.0,741.0,780,1,146500
4,1900-1950,TA,0,IDOTRR,720,0.0,720.0,720,1,34900
3,avant 1900,TA,0,IDOTRR,797,0.0,245.0,797,1,44000
5,1900-1950,Gd,1,BrkSide,1576,2.0,1324.0,1072,1,223500
6,1900-1950,Gd,1,BrkSide,1432,1.0,1022.0,1432,1,149000
7,1900-1950,Ex,0,BrkSide,1548,2.0,952.0,952,2,205000
5,1900-1950,TA,1,BrkSide,1654,1.0,297.0,1001,2,137000
6,1900-1950,Fa,1,BrkSide,952,1.0,952.0,952,1,121000
4,1900-1950,TA,0,BrkSide,1324,1.0,672.0,757,1,128000
6,1900-1950,TA,0,BrkSide,1176,2.0,698.0,786,1,134900
5,1900-1950,TA,1,BrkSide,1348,1.0,884.0,884,1,117000
6,1900-1950,TA,1,BrkSide,1412,1.0,780.0,825,1,132500
5,1900-1950,TA,0,BrkSide,1142,1.0,468.0,822,1,93000
6,1900-1950,TA,0,BrkSide,904,1.0,884.0,904,1,119000
